council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR,IGNORE,postcode,state,lng,lat,Individuals 2003-04,Median taxable income 2003-04,Average taxable income 2003-04,Individuals 2013-14,Median taxable income 2013-14,Average taxable income 2013-14,Individuals 2014-15,Median taxable income 2014-15,Average taxable income 2014-15,Individuals 2015-16,Median taxable income 2015-16,Average taxable income 2015-16,Individuals 2016-17,Median taxable income 2016-17,Average taxable income 2016-17,Individuals 2017-18,Median taxable income 2017-18,Average taxable income 2017-18,Individuals 2018-19,Median taxable income 2018-19,Average taxable income 2018-19,Individuals 2019-20,Median taxable income 2019-20,Average taxable income 2019-20,Individuals 2020-21,Median taxable income 2020-21,Average taxable income 2020-21,Individuals 2021-22,Median taxable income 2021-22,Average taxable income 2021-22,KFC Count,McDonald's Count,Hungry Jack's Count,council_y,sa4name,sed_name,Total Fast Food Count
Melbourne,MELBOURNE,15.3,48.8,0.0,3000.0,VIC,144.9825846,-37.81443733,"7,388","26,649","43,854","18,163","30,160","52,829","20,561","28,654","50,108","21,585","29,300","52,515","23,297","29,196","51,761","24,559","29,198","59,625","25,566","30,003","52,766","26,122","30,216","53,481","30,800","34,662","54,967","33,602","37,724","57,740",5.0,9.0,5.0,Melbourne City,Melbourne - Inner,Melbourne (Northern Metropolitan),19.0
Melbourne,EAST MELBOURNE,15.3,48.8,1.0,3002.0,VIC,144.9825846,-37.81443733,"3,070","39,872","66,728","3,586","59,384","112,768","3,530","61,008","114,843","3,586","64,297","119,280","3,636","64,936","130,048","3,709","67,044","185,437","3,810","70,537","135,387","3,799","72,705","143,099","3,538","74,187","142,604","3,550","78,080","175,522",0.0,0.0,0.0,Melbourne City,Melbourne - Inner,Melbourne (Northern Metropolitan),0.0
Melbourne,WEST MELBOURNE,15.3,48.8,2.0,3003.0,VIC,144.949592,-37.810871,"1,690","31,524","40,221","2,947","44,297","57,488","3,227","44,615","58,095","3,571","44,228","59,999","3,941","43,618","59,351","4,520","45,844","61,479","5,039","46,169","62,345","5,538","48,119","64,092","5,743","49,616","67,076","6,005","52,489","70,007",0.0,0.0,0.0,Melbourne City,Melbourne - Inner,Melbourne (Northern Metropolitan),0.0
Melbourne,ST KILDA ROAD CENTRAL,15.3,48.8,4.0,3004.0,VIC,144.970161,-37.844246,"4,090","36,787","67,390","6,869","53,004","92,513","7,084","53,768","86,624","6,941","56,433","87,809","7,360","56,087","88,947","8,178","56,465","119,389","8,596","57,629","83,531","8,710","58,744","88,749","8,669","60,877","92,235","8,882","63,691","96,605",0.0,0.0,0.0,Port Phillip,Melbourne - Inner,Prahran (Southern Metropolitan),0.0
Melbourne,ST KILDA ROAD MELBOURNE,15.3,48.8,5.0,3004.0,VIC,144.976,-37.8368,"4,090","36,787","67,390","6,869","53,004","92,513","7,084","53,768","86,624","6,941","56,433","87,809","7,360","56,087","88,947","8,178","56,465","119,389","8,596","57,629","83,531","8,710","58,744","88,749","8,669","60,877","92,235","8,882","63,691","96,605",0.0,0.0,0.0,Port Phillip,Melbourne - Inner,Prahran (Southern Metropolitan),0.0
Melbourne,WORLD TRADE CENTRE,15.3,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Phillip,SOUTH WHARF,17.4,54.4,6.0,3006.0,VIC,144.9520744,-37.82528675,"3,947","34,711","47,190","10,470","49,748","68,055","11,375","49,880","71,389","12,289","50,067","70,515","12,721","48,768","69,895","13,887","48,515","68,855","15,055","50,869","70,688","16,466","50,125","68,827","17,497","51,938","70,851","18,268","56,352","76,236",0.0,0.0,0.0,Port Phillip,Melbourne - Inner,Prahran (Southern Metropolitan),0.0
Port Phillip,SOUTHBANK,17.4,54.4,7.0,3006.0,VIC,144.965926,-37.823258,"3,947","34,711","47,190","10,470","49,748","68,055","11,375","49,880","71,389","12,289","50,067","70,515","12,721","48,768","69,895","13,887","48,515","68,855","15,055","50,869","70,688","16,466","50,125","68,827","17,497","51,938","70,851","18,268","56,352","76,236",2.0,3.0,1.0,Port Phillip,Melbourne - Inner,Prahran (Southern Metropolitan),6.0
Melbourne,DOCKLANDS,15.3,48.8,8.0,3008.0,VIC,144.948039,-37.814719,"1,510","38,839","53,060","6,016","49,842","68,430","6,576","51,089","72,583","7,164","51,155","70,764","8,645","48,937","65,743","10,062","50,912","66,581","10,791","52,419","68,227","10,809","55,010","72,250","11,248","55,925","74,203","11,473","59,023","81,098",2.0,0.0,0.0,Melbourne City,Melbourne - Inner,Melbourne (Northern Metropolitan),2.0
Melbourne,UNIVERSITY OF MELBOURNE,15.3,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
