Name,Latitude,Longitude,Suburb
KFC Dandenong Plaza,-37.9874245,145.2180356,DANDENONG
KFC Pakenham South,-38.1000621,145.4892244,PAKENHAM
KFC Narre Warren,-38.0265123,145.3107675,NARRE WARREN
KFC Pakenham,-38.07086,145.4777176,PAKENHAM
KFC Beaconsfield,-38.0552433,145.3863791,BEACONSFIELD
KFC Penlink Inbound,-38.2044486,145.1331481,BAXTER
KFC Hallam,-38.005571,145.2726197,HALLAM
KFC Cranbourne,-38.107145,145.2833671,CRANBOURNE
KFC Officer Outbound,-38.0701465,145.3875177,OFFICER
KFC Fadez,-38.0378138,145.262831,HAMPTON PARK
KFC Frankston Bayside,-38.1411014,145.1245331,FRANKSTON
KFC Karingal,-38.1515126,145.1519232,FRANKSTON
KFC Frankston South,-38.1842641,145.1411022,FRANKSTON SOUTH
KFC Penlink Outbound,-38.2051304,145.1365497,BAXTER
KFC Hastings,-38.3080418,145.1830318,HASTINGS
KFC North Geelong,-38.1014073,144.3541745,NORLANE
KFC Newcomb,-38.1734969,144.400953,NEWCOMB
KFC Belmont VIC,-38.1730466,144.3452489,BELMONT
KFC Armstrong Creek,-38.2249352,144.337283,ARMSTRONG CREEK
KFC Westfield Geelong,-38.14640790000001,144.3629618,GEELONG
KFC Grovedale,-38.19470889999999,144.3428519,GROVEDALE
KFC Ballan Service Centre,-37.5903108,144.2440673,BALLAN
KFC Drysdale,-38.1734286,144.5765782,DRYSDALE
KFC Ocean Grove,-38.2585421,144.5479402,OCEAN GROVE
KFC Colac,-38.3396318,143.5825338,COLAC
KFC Mornington,-38.2283639,145.0457361,MORNINGTON
KFC Rosebud,-38.3581067,144.897579,ROSEBUD
KFC Swan Hill,-35.3432615,143.5604777,SWAN HILL
KFC Canadian,-37.5846527,143.8673525,CANADIAN
KFC Ballarat,-37.5607399,143.8438601,BALLARAT CENTRAL
KFC Cobram,-35.9219901,145.6439614,COBRAM
KFC Wendouree,-37.539762,143.8223572,LAKE WENDOUREE
KFC Sebastopol,-37.5841947,143.840491,BALLARAT
KFC Strath Village,-36.7738478,144.3051464,KENNINGTON
KFC Warrnambool City,-38.3790293,142.4835344,WARRNAMBOOL
KFC Hamilton,-37.7402778,142.0258333,HAMILTON
KFC Seymour,-37.0240502,145.1335396,SEYMOUR
KFC Lansell,-36.8092335,144.2411406,KANGAROO FLAT
KFC Kangaroo Flat,-36.7942411,144.2441342,KANGAROO FLAT
KFC Kilmore,-37.288835,144.9495959,KILMORE
KFC Yarrawonga,-36.0172542,146.0049933,YARRAWONGA
KFC Portland,-38.3373058,141.6044399,PORTLAND
KFC Warragul,-38.1625555,145.9305956,WARRAGUL
KFC Warragul Queen Street,-38.1617712,145.9257679,WARRAGUL
KFC Stawell,-37.06564669999999,142.767379,STAWELL
KFC Ararat,-37.2824516,142.9345245,ARARAT
KFC Lakes Entrance,-37.8811062,147.9838279,LAKES ENTRANCE
KFC Mooroopna,-36.3946786,145.3565674,MOOROOPNA
KFC Morwell,-38.2351216,146.432337,MORWELL
KFC Leongatha,-38.4721921,145.9433485,LEONGATHA
KFC Benalla,-36.5508931,145.9881687,BENALLA
KFC Lucas,-37.541725,143.7844891,LUCAS
KFC Maryborough,-37.04585,143.7394685,MARYBOROUGH
KFC Eaglehawk,-36.7204849,144.2560958,EAGLEHAWK
KFC Bendigo,-36.7615995,144.2739462,BENDIGO
KFC Bendigo Marketplace,-36.765604,144.280856,BENDIGO
KFC Horsham,-36.7105972,142.1959403,HORSHAM
KFC Rainbow,-35.8706535,142.1746794,RAINBOW
KFC Wonthaggi,-38.6052872,145.5940526,WONTHAGGI
KFC Shepparton South,-36.4078582,145.3928748,KIALLA
KFC Wangaratta,-36.35830860000001,146.3189281,WANGARATTA
KFC Wallan 2 (Northbound),-37.4022729,145.0151608,WALLAN
KFC Epsom,-36.704569,144.3158698,EPSOM
KFC Moe,-38.1742177,146.2582573,MOE
KFC Traralgon East,-38.18745800000001,146.5766296,
KFC East Wodonga,-36.1362363,146.9068375,WODONGA
KFC Renmark,-34.1797679,140.738781,RENMARK
KFC Mildura,-34.1915321,142.1555422,MILDURA
KFC Irymple,-34.2192156,142.1522591,MILDURA
KFC Shepparton North,-36.3537092,145.4016313,SHEPPARTON
KFC Sale,-38.1055257,147.0686034,SALE
KFC Shepparton City,-36.3853886,145.3987372,SHEPPARTON
KFC Echuca,-36.140759,144.7504046,ECHUCA
KFC Wodonga,-36.1205868,146.8860825,WODONGA
KFC Lavington,-36.0487766,146.9373516,LAVINGTON
KFC Albury,-36.0845487,146.9197521,ALBURY
KFC West End Plaza Food Court,-36.0814702,146.9146639,ALBURY
KFC Lavington Square Food Court,-36.0483171,146.934991,LAVINGTON
KFC Bairnsdale,-37.8282826,147.6224325,BAIRNSDALE
