Name,Latitude,Longitude,Suburb
Hungry Jack's Burgers Oakleigh,-37.8937375,145.0910621,OAKLEIGH
Hungry Jack's Burgers Elizabeth Street,-37.8176767,144.9645396,MELBOURNE
Hungry Jack's Burgers Parkmore,-37.9940706,145.1750911,KEYSBOROUGH
Hungry Jack's Burgers La Trobe,-37.8100793,144.961509,MELBOURNE
Hungry Jack's Burgers Dandenong,-37.9853758,145.2211663,DANDENONG
Hungry Jack's Burgers Deer Park,-37.7513792,144.7775115,DEER PARK
Hungry Jack's Burgers South Yarra,-37.8454675,144.9854011,SOUTH YARRA
Hungry Jack's Burgers Notting Hill,-37.8986007,145.1238688,MOUNT WAVERLEY
Hungry Jack's Burgers Springvale,-37.9348655,145.1559433,SPRINGVALE
Hungry Jack's Burgers Scoresby,-37.899496,145.2342232,KNOXFIELD
Hungry Jack's Burgers Mt Waverley,-37.8600165,145.1501739,BURWOOD EAST
Hungry Jack's Burgers Spencer Street,-37.8167943,144.9528063,MELBOURNE
Hungry Jack's Burgers Knox City,-37.8704638,145.24215,WANTIRNA SOUTH
Hungry Jack's Burgers Kingsway,-37.8289455,144.9639508,SOUTHBANK
Hungry Jack's Burgers Rowville,-37.9271738,145.2339674,ROWVILLE
Hungry Jack's Burgers Hoddle Street,-37.8116315,144.9913167,RICHMOND
Hungry Jack's Burgers Burwood (VIC),-37.8491667,145.1094444,BURWOOD
Hungry Jack's Burgers Moorabbin,-37.9299856,145.0321754,BENTLEIGH
Hungry Jack's Burgers Swanston Street,-37.8139529,144.9655486,MELBOURNE
Hungry Jack's Burgers Forest Hill,-37.8339893,145.1633094,FOREST HILL
Hungry Jack's Burgers Southern Cross,-37.8188012,144.9537619,MELBOURNE
Hungry Jack's Burgers Westgate,-37.8298195,144.9171835,PORT MELBOURNE
Hungry Jack's Burgers Flemington,-37.7922251,144.9183862,KENSINGTON
Hungry Jack's Burgers Bulleen,-37.7619949,145.0838724,BULLEEN
Hungry Jack's Burgers Bell Street,-37.7478767,145.0222525,PRESTON
Hungry Jack's Burgers Pascoe Vale,-37.7392232,144.9492074,PASCOE VALE SOUTH
Hungry Jack's Burgers Chadstone,-37.88503,145.0834347,MALVERN EAST
Hungry Jack's Burgers Footscray,-37.8109951,144.8708063,KINGSVILLE
Hungry Jack's Burgers North Ringwood,-37.8109301,145.2390754,RINGWOOD EAST
Hungry Jack's Burgers Highpoint,-37.77423599999999,144.886263,MARIBYRNONG
Hungry Jack's Burgers Ardeer,-37.7963902,144.7900533,SUNSHINE WEST
Hungry Jack's Burgers Keilor Park Drive,-37.7234578,144.8496898,KEILOR PARK
Hungry Jack's Burgers Sunshine,-37.7787329,144.8408553,SUNSHINE
Hungry Jack's Burgers Altona North,-37.8317121,144.8485103,ALTONA NORTH
Hungry Jack's Burgers Croydon,-37.8243197,145.2881725,BAYSWATER NORTH
Hungry Jack's Burgers Mooroolbark,-37.7900054,145.3095142,MOOROOLBARK
Hungry Jack's Burgers Heatherton,-37.9503348,145.0783334,HEATHERTON
Hungry Jack's Burgers Thomastown,-37.6847595,145.0286208,LALOR
Hungry Jack's,-37.6689619,144.8472483,MELBOURNE AIRPORT
Hungry Jack's Burgers Keilor Downs,-37.7284373,144.8086263,KEILOR DOWNS
Hungry Jack's Burgers Altona Meadows,-37.8720369,144.7771185,ALTONA MEADOWS
Hungry Jack's Burgers Karingal Hub,-38.1538835,145.1628602,FRANKSTON
Hungry Jack's Burgers Hallam,-38.0056563,145.2730285,HALLAM
Hungry Jack's Burgers Eltham,-37.7170372,145.1375458,ELTHAM
Hungry Jack's Burgers Bundoora,-37.6901106,145.063955,BUNDOORA
Hungry Jack's Burgers Mill Park,-37.6558494,145.0791024,MILL PARK
Hungry Jack's Burgers Carrum Downs,-38.1013013,145.182819,CARRUM DOWNS
Hungry Jack's Burgers Jacana,-37.6927709,144.9151574,JACANA
Hungry Jack's Burgers Epping,-37.6523534,145.0226654,EPPING
Hungry Jack's Burgers Fawkner,-37.6888205,144.9573469,CAMPBELLFIELD
Hungry Jack's Burgers Clyde North,-38.0936816,145.3326242,CLYDE NORTH
Hungry Jack's Burgers Truganina,-37.84007709999999,144.7486222,TRUGANINA
Hungry Jack's Burgers Caroline Springs,-37.7555804,144.7404414,CAROLINE SPRINGS
Hungry Jack's Burgers Tullamarine,-37.6840752,144.8824138,WESTMEADOWS
Hungry Jack's Burgers Taylors Hill,-37.7104771,144.7410546,TAYLORS HILL
Hungry Jack's Burgers Watergardens,-37.6960346,144.781207,TAYLORS LAKES
Hungry Jack's Burgers Werribee Plaza,-37.8756481,144.6826511,HOPPERS CROSSING
Hungry Jack's Burgers Bunker Hill,-37.5412133,144.9438571,MICKLEHAM
Hungry Jack's Burgers Wyndham Vale,-37.8735021,144.6132502,WYNDHAM VALE
Hungry Jack's Burgers Mentone,-37.98328679999999,145.0758594,MENTONE
