Name,Latitude,Longitude
McDonald's,-37.7886256,145.161631
McDonald's,-37.8194424,145.1215114
McDonald's,-37.7880626,145.3110683
McDonald's,-37.906366,145.3433957
McDonald's,-38.1649378,145.1376413
McDonald's (Berwick South),-38.0559176,145.3383675
McDonald's,-37.9231797,145.0820327
McDonald's Pakenham South,-38.0847041,145.4923135
McDonald's Fawkner,-37.6901471,144.9589208
McDonald's,-37.8130776,145.0116846
McDonald's,-37.7018599,145.1034407
McDonald's,-37.6735646,145.157323
McDonald's,-37.7186369,145.1381806
McDonald's Nunawading,-37.8179069,145.1766498
McDonald's,-37.6401846,144.929556
McDonald's Brandon Park,-37.905671,145.161777
McDonald's Northland Shopping Centre II,-37.7399516,145.0311429
McDonald's Campbellfield,-37.6739401,144.9553434
McDonald Reserve Playground,-37.759189,145.0011466
McDonald's Tullamarine,-37.6882337,144.881837
McDonald's Rosenthal Village,-37.5954822,144.7132257
McDonald's Cheltenham,-37.9606727,145.0546556
McDonald's,-37.7578418,145.3564223
McDonald's,-37.6031217,145.0942418
McDonald's,-37.6224451,145.0295452
McDonald's,-37.6057833,145.1361463
McDonald's Plenty Valley S/C,-37.651871,145.0717196
McDonald's,-37.6033401,144.984909
McDonald's(Lyndhurst II-Cranbourne West),-38.0785353,145.2434081
Mcdonalds Reservoir,-37.3750874,144.5915048
McDonald's,-37.677385,144.921808
McDonald's Melbourne Airport,-37.67036270000001,144.8538531
McDonald's,-37.6703555,144.8483742
McDonald's,-37.7207951,144.9214552
McDonald's Melbourne Airport T4,-37.6727751,144.8489247
McDonald's,-37.739021,144.9481755
McDonald's Craigieburn,-37.5962823,144.9214691
McDonald's,-37.573841,144.9200929
McDonald's,-37.5765624,144.7285481
McDonald's Delahey,-37.726856,144.7814638
McDonald's,-37.41278399999999,144.9798996
McDonald's Calder Northbound,-37.6648186,144.747969
McDonald's,-37.66526169999999,144.753831
McDonald's Rosenthal,-37.5951921,144.7133346
McDonald's Gisborne,-37.48580889999999,144.5875966
McDonald's Western Fairway,-37.7067116,144.6292639
McDonald's,-37.402586,145.014799
McDonald's Sydenham,-37.6937716,144.7550943
McDonald's Wallan Sth,-37.4036429,145.0173282
McDonald's Caroline Springs,-37.7295755,144.7413378
McDonald's,-37.2877587,144.9491367
McDonald's St Albans,-37.746734,144.802321
McDonald's Highpoint,-37.7758299,144.8883847
McDonald's Western Ring Road East,-37.8054536,144.8092419
McDonald's Airport West (Food Court),-37.713986,144.8878616
McDonald's Croydon,-37.788661,145.268709
McDonald's Whittlesea,-37.5164551,145.1146846
McDonald's Pacific Plaza,-37.6551178,145.0172097
McDonald's Doncaster,-37.7866596,145.1251415
McDonald's California Gully,-36.732471,144.2576175
McDonald's,-38.0221519,145.3019823
McDonald's Rosebud,-38.357864,144.898506
McDonald's Peninsula Link Inbound,-38.2042428,145.1332667
McDonald's,-38.230772,145.04447
McDonald's,-38.2051373,145.1368942
McDonald's,-37.987161,145.218552
McDonald's-Cranbourne,-38.0983059,145.2826654
McDonald's Frankston,-38.1124228,145.1589282
McDonald's Frankston 2,-38.14250850000001,145.1207697
McDonald's,-38.1502069,145.1964033
McDonald's (Amstel),-38.1108986,145.2597039
McDonald's,-38.1016463,145.1861242
McDonald's Hastings,-38.30743289999999,145.1840268
McDonald's,-38.1515428,145.1513619
McDonald's Somerville,-38.2232393,145.1697364
McDonald's Skye,-38.108327,145.232293
McDonald's,-38.2469021,144.5382875
McDonald's,-38.1865781,144.4551177
McDonald's Armstrong Creek,-38.2271248,144.3369497
McDonald's,-38.1737238,144.4013489
McDonald's Warralily,-38.2320572,144.3732445
McDonald's Torquay,-38.3254094,144.3171486
McDonald's,-38.102465,144.353685
McDonald's Belmont,-38.1704424,144.347981
McDonald's,-38.0750721,144.3554461
McDonald's Waurn Pounds,-38.1971122,144.3173452
McDonald's Geelong Bypass Northbound,-38.0654559,144.3361252
McDonald's Corio,-38.082998,144.360553
McDonald's,-38.2455327,145.5373519
McDonald's,-38.4721986,145.4735411
McDonald's Botanic Ridge,-38.1495884,145.2914221
McDonald's,-38.1184841,145.3207168
McDonald's Chadstone Food Court,-37.8849299,145.0834565
McDonald's Rockbank Outbound,-37.7389994,144.6799772
McDonald's Derrimut Village,-37.7831802,144.7723525
McDonald's Western Ring Rd West,-37.8037157,144.8044591
McDonald's Watergardens,-37.6991072,144.7763088
McDonalds Kealba,-37.7381005,144.8315589
McDonald's Laverton,-37.8697879,144.7610995
McDonald's,-38.03971749999999,145.3427079
McDonald's Hoppers Crossing,-37.8799563,144.7015746
McDonald's Truganina,-37.8227747,144.720417
McDonald's Point Cook,-37.8847522,144.7368859
McDonald's Werribee,-37.9030232,144.6617362
McDonald's Masters Braybrook,-37.778244,144.850291
McDonald's,-37.7228704,144.5724477
McDonald's Melton West,-37.687872,144.5667611
McDonald's,-37.6892352,144.6046857
McDonald's Riverdale Village,-37.8342731,144.6528654
McDonald's Manor Lakes,-37.8760293,144.615446
McDonald's Hogans Corner,-37.8612475,144.6867773
McDonald's,-37.6738527,144.4357354
McDonald's,-37.9263141,144.6312322
McDonald's Tarneit,-37.8352451,144.6902905
McCafé,-37.6892635,144.604677
McDonald's Wyndham Waters,-37.8534332,144.7321786
McDonald's Werribee Plaza,-37.8751797,144.6813643
McDonald's,-37.9516142,145.0779886
McDonald's Hallam Rd,-38.0333178,145.2674351
McDonald's,-38.0634853,145.436729
McDonald's,-38.0708685,145.4782751
McDonald's,-38.1342603,145.8570234
McDonald's,-38.1610378,145.9297367
McDonald's,-38.0730158,145.3896886
McDonald's,-38.0699518,145.3871906
McDonald's Clyde North,-38.076315,145.3362316
