Name,Latitude,Longitude
KFC Newcomb,-38.1734969,144.400953
KFC Wyndham Vale,-37.8922249,144.6307483
KFC Tarneit,-37.84788229999999,144.6890328
KFC Melton South,-37.72206740000001,144.5726398
KFC Melton Phoenix,-37.68785039999999,144.5661028
KFC Woodgrove,-37.6857886,144.56303
KFC Bacchus Marsh,-37.6742699,144.4364875
KFC Riverdale,-37.8331418,144.6522248
KFC Werribee,-37.902406,144.6598433
KFC Werribee Plaza,-37.8753721,144.6811897
KFC Maltby Bypass,-37.9264939,144.6318079
KFC Southland Mall,-37.9578723,145.0532457
KFC Parkmore,-37.9925415,145.1731144
KFC Fadez,-38.0378138,145.262831
KFC Pakenham,-38.07086,145.4777176
KFC Officer Outbound,-38.0701465,145.3875177
KFC Officer Arena,-38.0653504,145.4364033
KFC Pakenham South,-38.1000621,145.4892244
KFC Warragul,-38.1625555,145.9305956
KFC Warragul Queen Street,-38.1617712,145.9257679
KFC Beaconsfield,-38.0552433,145.3863791
