Name,Latitude,Longitude
McDonald's Forest Hill,-37.8354962,145.165948
McDonald's Mountain Highway,-37.8479935,145.2304269
McDonald's,-37.8592972,145.2854051
McDonald's-Cranbourne North,-38.0849828,145.2940554
McDonald's Laverton North,-37.8435819,144.7814752
McDonald's Sunshine,-37.7782872,144.8432043
McDonald's,-37.831175,145.270697
McDonald's,-37.8193138,145.3145568
McDonald's Yarraville,-37.812576,144.884128
McDonald's,51.528686,-0.270059
McDonald's,49.3265262,-123.1396712
McDonald's,-37.9420546,145.1676904
McDonald's,-37.9131827,145.2172064
McDonald's,-37.961785,145.1510651
McDonald's Keilor Park,-37.7185426,144.8528329
McDonald's,-37.9706262,145.2228134
McDonald's Laverton,-37.8697879,144.7610995
Mcdonald's Southbank,-27.4816347,153.0234524
McDonald's Melbourne Airport Drive,-37.6933838,144.8674793
McDonald's Taylors Lakes,-37.702447,144.8024119
McDonald's Kew,-37.8051089,145.0348683
McDonald's Elsternwick,-37.8843875,144.9980817
McDonald's Little Boundary Rd,-37.8228611,144.8244555
McDonald's Mill Park,-37.6586658,145.0768551
McDonald's,-37.7207951,144.9214552
McDonald's,-37.6159845,144.913753
McDonald's,-37.7422387,144.9040399
McDonald's Deer Park,-37.76168690000001,144.755147
McDonald's Airport West (Food Court),-37.713986,144.8878616
McDonald's Tullamarine,-37.6882337,144.881837
McDonald's,-37.8801014,145.2678539
McDonald's,-37.9727755,145.1124267
McDonald's Westfield Garden City,-27.5627179,153.0806731
McDonald's Midridge Drive-Thru,-25.9759378,28.1196037
McDonald's,-37.9080445,145.0752943
McDonald's,51.5298014,-0.0947663
McDonald's Emerald Hills,-33.9961772,150.7903025
McDonald's,46.1731537,-62.6515526
McDonald's Montague Gardens Drive-Thru,-33.878901,18.5217561
McDonald's,49.0513915,-122.3096325
McDonald's,49.0611776,-122.380881
McDonald's,49.0482188,-122.3367789
McDonald's,49.0413922,-122.2210385
McDonald's,49.0364638,-122.2923462
McDonald's,49.0360441,-122.2667611
McDonald's,49.0549194,-122.3727468
McDonald's,49.0591623,-122.4939087
McDonald's,49.1034892,-122.4916256
McDonald's,44.9367392,-90.317262
McDonald's,49.0580542,-122.3778414
McDonald's,49.0348596,-122.2701444
McDonald's Victoria Park,-31.9938376,115.912157
McDonald's,50.70907219999999,-3.5357608
McDonald's Heidelberg,-37.753001,145.051569
McDonald's,-37.77381,145.115234
McDonald's Hawthorn,-37.8205613,145.0359221
McDonald's,-37.7169129,145.0422751
McDonald's Doncaster,-37.7866596,145.1251415
McDonald's,53.7868503,-2.2502041
McDonald's,53.7892855,-2.2410097
McDonald's,53.7948787,-2.2469387
McDonald's,-33.8297433,151.2270357
McDonald's Richmond,-33.59933700000001,150.752815
McDonald's Chadstone,-37.8862106,145.0779249
McDonald's Chadstone Food Court,-37.8849299,145.0834565
McDonald's,-37.8758141,145.091113
McDonald's,-37.7886256,145.161631
McDonald's,-38.1649378,145.1376413
McDonald's,-37.7880626,145.3110683
McDonald's (Berwick South),-38.0559176,145.3383675
McDonald's,-37.9231797,145.0820327
McDonald's Pakenham South,-38.0847041,145.4923135
McDonald's Keysborough,-37.9948702,145.1746027
McDonald's,55.597344,-4.4725594
McDonald's,-37.7186369,145.1381806
McDonald's,-37.7018599,145.1034407
McDonald's,-37.6735646,145.157323
McDonald's Thomastown II,-37.6884047,145.0291126
McDonald's Epping,-37.6594335,145.0185234
