council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR
Greater Geelong,LEOPOLD,29.2,64.6
Greater Geelong,MOOLAP,29.2,64.6
Greater Geelong,POINT LONSDALE,29.2,64.6
Greater Geelong,QUEENSCLIFF,29.2,64.6
Greater Geelong,SWAN BAY,29.2,64.6
Greater Geelong,SWAN ISLAND,29.2,64.6
Greater Geelong,OCEAN GROVE,29.2,64.6
Surf Coast,BARWON HEADS,27.3,63.6
Surf Coast,BREAMLEA,27.3,63.6
Surf Coast,CONNEWARRE,27.3,63.6
Surf Coast,BELLBRAE,27.3,63.6
Surf Coast,BELLS BEACH,27.3,63.6
Surf Coast,JAN JUC,27.3,63.6
Surf Coast,TORQUAY,27.3,63.6
Surf Coast,ANGLESEA,27.3,63.6
Surf Coast,AIREYS INLET,27.3,63.6
Surf Coast,BIG HILL,27.3,63.6
Surf Coast,EASTERN VIEW,27.3,63.6
Surf Coast,FAIRHAVEN,27.3,63.6
Surf Coast,MOGGS CREEK,27.3,63.6
Surf Coast,BIG HILL,27.3,63.6
Surf Coast,LORNE,27.3,63.6
Colac Otway,APOLLO BAY,31.3,66.8
Colac Otway,CAPE OTWAY,31.3,66.8
Colac Otway,MARENGO,31.3,66.8
Colac Otway,PETTICOAT CREEK,31.3,66.8
Colac Otway,SKENES CREEK,31.3,66.8
Colac Otway,SKENES CREEK NORTH,31.3,66.8
Colac Otway,GREY RIVER,31.3,66.8
Colac Otway,KENNETT RIVER,31.3,66.8
Colac Otway,SEPARATION CREEK,31.3,66.8
Colac Otway,SUGARLOAF,31.3,66.8
Colac Otway,WONGARRA,31.3,66.8
Colac Otway,WYE RIVER,31.3,66.8
Colac Otway,BENWERRIN,31.3,66.8
Colac Otway,BOONAH,31.3,66.8
Colac Otway,DEANS MARSH,31.3,66.8
Colac Otway,PENNYROYAL,31.3,66.8
Colac Otway,FORREST,31.3,66.8
Colac Otway,MOUNT SABINE,31.3,66.8
Corangamite,AIRE VALLEY,33.3,69.9
Corangamite,BEECH FOREST,33.3,69.9
Corangamite,FERGUSON,33.3,69.9
Corangamite,GELLIBRAND LOWER,33.3,69.9
Corangamite,WATTLE HILL,33.3,69.9
Corangamite,WEEAPROINAH,33.3,69.9
Corangamite,WYELANGTA,33.3,69.9
Corangamite,YUULONG,33.3,69.9
Colac Otway,GLENAIRE,31.3,66.8
Colac Otway,HORDERN VALE,31.3,66.8
Colac Otway,JOHANNA,31.3,66.8
Colac Otway,LAVERS HILL,31.3,66.8
Corangamite,CARLISLE RIVER,33.3,69.9
Corangamite,CHAPPLE VALE,33.3,69.9
Corangamite,GELLIBRAND,33.3,69.9
Corangamite,KENNEDYS CREEK,33.3,69.9
Surf Coast,BUCKLEY,27.3,63.6
Surf Coast,GHERANG,27.3,63.6
Surf Coast,MODEWARRE,27.3,63.6
Surf Coast,MORIAC,27.3,63.6
Surf Coast,MOUNT MORIAC,27.3,63.6
Surf Coast,PARAPARAP,27.3,63.6
Colac Otway,BAMBRA,31.3,66.8
Colac Otway,OMBERSLEY,31.3,66.8
Colac Otway,WENSLEYDALE,31.3,66.8
Colac Otway,WINCHELSEA,31.3,66.8
Colac Otway,WINCHELSEA SOUTH,31.3,66.8
Colac Otway,WURDIBOLUC,31.3,66.8
Surf Coast,BIRREGURRA,27.3,63.6
Colac Otway,BARWON DOWNS,31.3,66.8
Colac Otway,GERANGAMETE,31.3,66.8
Colac Otway,MURROON,31.3,66.8
Colac Otway,WARNCOORT,31.3,66.8
Colac Otway,WHOOREL,31.3,66.8
Corangamite,ALVIE,33.3,69.9
Corangamite,BALINTORE,33.3,69.9
Corangamite,BARONGAROOK,33.3,69.9
Corangamite,BARONGAROOK WEST,33.3,69.9
Corangamite,BARRAMUNGA,33.3,69.9
Corangamite,CORAGULAC,33.3,69.9
Corangamite,CORUNNUN,33.3,69.9
Corangamite,DREEITE,33.3,69.9
Corangamite,DREEITE SOUTH,33.3,69.9
Corangamite,GERANGAMETE,33.3,69.9
Corangamite,IRREWARRA,33.3,69.9
Corangamite,IRREWILLIPE,33.3,69.9
Corangamite,IRREWILLIPE EAST,33.3,69.9
Corangamite,KAWARREN,33.3,69.9
Corangamite,LARPENT,33.3,69.9
Corangamite,NALANGIL,33.3,69.9
Corangamite,ONDIT,33.3,69.9
Corangamite,PIRRON YALLOCK,33.3,69.9
Corangamite,POMBORNEIT EAST,33.3,69.9
Corangamite,SWAN MARSH,33.3,69.9
Corangamite,TANYBRYN,33.3,69.9
Corangamite,WARRION,33.3,69.9
Corangamite,WOOL WOOL,33.3,69.9
Corangamite,YEO,33.3,69.9
Corangamite,YEODENE,33.3,69.9
Colac Otway,COLAC,31.3,66.8
Colac Otway,COLAC EAST,31.3,66.8
Colac Otway,COLAC WEST,31.3,66.8
Colac Otway,ELLIMINYT,31.3,66.8
Corangamite,BEEAC,33.3,69.9
Corangamite,CUNDARE,33.3,69.9
Corangamite,CUNDARE NORTH,33.3,69.9
Corangamite,EURACK,33.3,69.9
Corangamite,WEERING,33.3,69.9
Colac Otway,COROROOKE,31.3,66.8
Colac Otway,BOOKAAR,31.3,66.8
Colac Otway,BOSTOCKS CREEK,31.3,66.8
Colac Otway,BUNGADOR,31.3,66.8
Colac Otway,CAMPERDOWN,31.3,66.8
Colac Otway,CARPENDEIT,31.3,66.8
Colac Otway,CHOCOLYN,31.3,66.8
Colac Otway,GNOTUK,31.3,66.8
Colac Otway,KARIAH,31.3,66.8
Colac Otway,KOALLAH,31.3,66.8
Colac Otway,LESLIE MANOR,31.3,66.8
Colac Otway,POMBORNEIT,31.3,66.8
Colac Otway,POMBORNEIT NORTH,31.3,66.8
Colac Otway,SKIBO,31.3,66.8
Colac Otway,SOUTH PURRUMBETE,31.3,66.8
Colac Otway,STONYFORD,31.3,66.8
Colac Otway,TANDAROOK,31.3,66.8
Colac Otway,TESBURY,31.3,66.8
Colac Otway,WEERITE,31.3,66.8
Moyne,TERANG,34.3,71.8
Corangamite,BOORCAN,33.3,69.9
Corangamite,CUDGEE,33.3,69.9
Corangamite,DIXIE,33.3,69.9
Corangamite,ECKLIN SOUTH,33.3,69.9
Corangamite,ELLERSLIE,33.3,69.9
Corangamite,FRAMLINGHAM,33.3,69.9
Corangamite,FRAMLINGHAM EAST,33.3,69.9
Corangamite,GARVOC,33.3,69.9
Corangamite,GLENORMISTON,33.3,69.9
Corangamite,GLENORMISTON NORTH,33.3,69.9
Corangamite,GLENORMISTON SOUTH,33.3,69.9
Corangamite,KOLORA,33.3,69.9
Corangamite,LAANG,33.3,69.9
Corangamite,NOORAT,33.3,69.9
Corangamite,NOORAT EAST,33.3,69.9
Corangamite,PANMURE,33.3,69.9
Corangamite,TAROON,33.3,69.9
Corangamite,THE SISTERS,33.3,69.9
Colac Otway,BULLAHARRE,31.3,66.8
Colac Otway,COBDEN,31.3,66.8
Colac Otway,COBRICO,31.3,66.8
Colac Otway,ELINGAMITE,31.3,66.8
Colac Otway,ELINGAMITE NORTH,31.3,66.8
Colac Otway,GLENFYNE,31.3,66.8
Colac Otway,JANCOURT,31.3,66.8
Colac Otway,JANCOURT EAST,31.3,66.8
Colac Otway,NAROGHID,31.3,66.8
Colac Otway,SIMPSON,31.3,66.8
Corangamite,SCOTTS CREEK,33.3,69.9
Moyne,AYRFORD,34.3,71.8
Moyne,BRUCKNELL,34.3,71.8
Moyne,COORIEMUNGLE,34.3,71.8
Moyne,COWLEYS CREEK,34.3,71.8
Moyne,CURDIE VALE,34.3,71.8
Moyne,CURDIES RIVER,34.3,71.8
Moyne,CURDIEVALE,34.3,71.8
Moyne,HEYTESBURY LOWER,34.3,71.8
Moyne,NEWFIELD,34.3,71.8
Moyne,NIRRANDA,34.3,71.8
Moyne,NIRRANDA EAST,34.3,71.8
Moyne,NIRRANDA SOUTH,34.3,71.8
Moyne,NULLAWARRE,34.3,71.8
Moyne,NULLAWARRE EAST,34.3,71.8
Moyne,NULLAWARRE NORTH,34.3,71.8
Moyne,PAARATTE,34.3,71.8
Moyne,THE COVE,34.3,71.8
Moyne,TIMBOON,34.3,71.8
Moyne,TIMBOON WEST,34.3,71.8
Corangamite,PORT CAMPBELL,33.3,69.9
Corangamite,PRINCETOWN,33.3,69.9
Corangamite,WAARRE,33.3,69.9
Corangamite,PETERBOROUGH,33.3,69.9
Ararat,DARLINGTON,32.6,68.4
Ararat,DUNDONNELL,32.6,68.4
Ararat,PURA PURA,32.6,68.4
Ararat,MORTLAKE,32.6,68.4
Ararat,WOORNDOO,32.6,68.4
Moyne,HEXHAM,34.3,71.8
Southern Grampians,CARAMUT,33.5,68.8
Moyne,MAILER FLAT,34.3,71.8
Moyne,MAILORS FLAT,34.3,71.8
Moyne,MINJAH,34.3,71.8
Moyne,WOOLSTHORPE,34.3,71.8
Moyne,ALLANSFORD,34.3,71.8
Moyne,MEPUNGA,34.3,71.8
Moyne,MEPUNGA EAST,34.3,71.8
Moyne,MEPUNGA WEST,34.3,71.8
Moyne,NARINGAL,34.3,71.8
Moyne,NARINGAL EAST,34.3,71.8
Moyne,PURNIM,34.3,71.8
Moyne,PURNIM WEST,34.3,71.8
Moyne,BALLANGEICH,34.3,71.8
Moyne,WANGOOM,34.3,71.8
Moyne,DENNINGTON,34.3,71.8
Moyne,MINJAH,34.3,71.8
Moyne,WARRNAMBOOL,34.3,71.8
Moyne,WARRNAMBOOL EAST,34.3,71.8
Moyne,WARRNAMBOOL WEST,34.3,71.8
Moyne,BUSHFIELD,34.3,71.8
Moyne,GRASSMERE,34.3,71.8
Moyne,WINSLOW,34.3,71.8
Moyne,WOODFORD,34.3,71.8
Warrnambool,ILLOWA,32.5,68.1
Warrnambool,KOROIT,32.5,68.1
Warrnambool,CROSSLEY,32.5,68.1
Warrnambool,KILLARNEY,32.5,68.1
Warrnambool,KIRKSTALL,32.5,68.1
Warrnambool,SOUTHERN CROSS,32.5,68.1
Warrnambool,TARRONE,32.5,68.1
Warrnambool,TOWER HILL,32.5,68.1
Warrnambool,WARRONG,32.5,68.1
Warrnambool,WILLATOOK,32.5,68.1
Warrnambool,YANGERY,32.5,68.1
Warrnambool,YARPTURK,32.5,68.1
Moyne,ORFORD,34.3,71.8
Moyne,PORT FAIRY,34.3,71.8
Moyne,CODRINGTON,34.3,71.8
Moyne,NARRAWONG,34.3,71.8
Moyne,ROSEBROOK,34.3,71.8
Moyne,ST HELENS,34.3,71.8
Moyne,TOOLONG,34.3,71.8
Moyne,TYRENDARRA,34.3,71.8
Moyne,TYRENDARRA EAST,34.3,71.8
Moyne,YAMBUK,34.3,71.8
Moyne,CONDAH SWAMP,34.3,71.8
Moyne,KNEBSWORTH,34.3,71.8
Moyne,MACARTHUR,34.3,71.8
Moyne,RIPPONHURST,34.3,71.8
Moyne,WARRABKOOK,34.3,71.8
Moyne,HAWKESDALE,34.3,71.8
Moyne,MINHAMITE,34.3,71.8
Moyne,GAZETTE,34.3,71.8
Moyne,GERRIGERRUP,34.3,71.8
Moyne,PENSHURST,34.3,71.8
Moyne,PURDEET,34.3,71.8
Moyne,TABOR,34.3,71.8
Glenelg,NELSON,32.5,69.0
Moyne,GLENTHOMPSON,34.3,71.8
Moyne,NAREEB,34.3,71.8
Moyne,NARRAPUMELAP SOUTH,34.3,71.8
Ararat,DUNKELD,32.6,68.4
Ararat,KARABEAL,32.6,68.4
Ararat,MIRRANATWA,32.6,68.4
Ararat,MOUTAJUP,32.6,68.4
Ararat,VICTORIA POINT,32.6,68.4
Ararat,VICTORIA VALLEY,32.6,68.4
Ararat,WOODHOUSE,32.6,68.4
Southern Grampians,BYADUK NORTH,33.5,68.8
Southern Grampians,HAMILTON,33.5,68.8
Glenelg,BOCHARA,32.5,69.0
Glenelg,BROADWATER,32.5,69.0
Glenelg,BUCKLEY SWAMP,32.5,69.0
Glenelg,BYADUK,32.5,69.0
Glenelg,CROXTON EAST,32.5,69.0
Glenelg,HENSLEY PARK,32.5,69.0
Glenelg,MORGIANA,32.5,69.0
Glenelg,MOUNT NAPIER,32.5,69.0
Glenelg,STRATHKELLAR,32.5,69.0
Glenelg,TAHARA,32.5,69.0
Glenelg,TARRINGTON,32.5,69.0
Glenelg,WANNON,32.5,69.0
Glenelg,WARRAYURE,32.5,69.0
Glenelg,YATCHAW,32.5,69.0
Glenelg,YULECART,32.5,69.0
Glenelg,BRANXHOLME,32.5,69.0
Glenelg,GRASSDALE,32.5,69.0
Moyne,BREAKAWAY CREEK,34.3,71.8
Moyne,CONDAH,34.3,71.8
Moyne,CONDAH SWAMP,34.3,71.8
Moyne,HOTSPUR,34.3,71.8
Moyne,LAKE CONDAH,34.3,71.8
Moyne,WALLACEDALE,34.3,71.8
Moyne,BESSIEBELLE,34.3,71.8
Moyne,DARTMOOR,34.3,71.8
Moyne,DRIK DRIK,34.3,71.8
Moyne,DRUMBORG,34.3,71.8
Moyne,GREENWALD,34.3,71.8
Moyne,HEYWOOD,34.3,71.8
Moyne,HOMERTON,34.3,71.8
Moyne,LYONS,34.3,71.8
Moyne,MILLTOWN,34.3,71.8
Moyne,MUMBANNAR,34.3,71.8
Moyne,MYAMYN,34.3,71.8
Moyne,WINNAP,34.3,71.8
Glenelg,ALLESTREE,32.5,69.0
Glenelg,BOLWARRA,32.5,69.0
Glenelg,CAPE BRIDGEWATER,32.5,69.0
Glenelg,CASHMORE,32.5,69.0
Glenelg,DUTTON WAY,32.5,69.0
Glenelg,GORAE,32.5,69.0
Glenelg,GORAE WEST,32.5,69.0
Glenelg,HEATHMERE,32.5,69.0
Glenelg,MOUNT RICHMOND,32.5,69.0
Glenelg,PORTLAND,32.5,69.0
Glenelg,PORTLAND NORTH,32.5,69.0
Glenelg,PORTLAND WEST,32.5,69.0
Glenelg,DIGBY,32.5,69.0
Glenelg,MERINO,32.5,69.0
Glenelg,TAHARA WEST,32.5,69.0
Glenelg,CASTERTON,32.5,69.0
Glenelg,CORNDALE,32.5,69.0
Glenelg,HEATH FIELD,32.5,69.0
Glenelg,PURALKA,32.5,69.0
Southern Grampians,BAHGALLAH,33.5,68.8
Southern Grampians,BRIMBOAL,33.5,68.8
Southern Grampians,CARAPOOK,33.5,68.8
Southern Grampians,CHETWYND,33.5,68.8
Southern Grampians,DERGHOLM,33.5,68.8
Southern Grampians,DORODONG,33.5,68.8
Southern Grampians,DUNROBIN,33.5,68.8
Southern Grampians,HENTY,33.5,68.8
Southern Grampians,KILLARA,33.5,68.8
Southern Grampians,LAKE MUNDI,33.5,68.8
Southern Grampians,LINDSAY,33.5,68.8
Southern Grampians,MUNTHAM,33.5,68.8
Southern Grampians,NANGEELA,33.5,68.8
Southern Grampians,POOLAIJELO,33.5,68.8
Southern Grampians,POWERS CREEK,33.5,68.8
Southern Grampians,SANDFORD,33.5,68.8
Southern Grampians,STRATHDOWNIE,33.5,68.8
Southern Grampians,WANDO BRIDGE,33.5,68.8
Southern Grampians,WANDO VALE,33.5,68.8
Southern Grampians,WARROCK,33.5,68.8
Northern Grampians,BULART,33.5,68.8
Northern Grampians,CAVENDISH,33.5,68.8
Northern Grampians,GLENISLA,33.5,68.8
Northern Grampians,GRAMPIANS,33.5,68.8
Northern Grampians,MOORALLA,33.5,68.8
Northern Grampians,WOOHLPOOER,33.5,68.8
West Wimmera,BRIT BRIT,33.0,69.7
West Wimmera,CLOVER FLAT,33.0,69.7
West Wimmera,COLERAINE,33.0,69.7
West Wimmera,COOJAR,33.0,69.7
West Wimmera,CULLA,33.0,69.7
West Wimmera,GRINGEGALGONA,33.0,69.7
West Wimmera,GRITJURK,33.0,69.7
West Wimmera,HILGAY,33.0,69.7
West Wimmera,KONONGWOOTONG,33.0,69.7
West Wimmera,MELVILLE FOREST,33.0,69.7
West Wimmera,MUNTHAM,33.0,69.7
West Wimmera,NAREEN,33.0,69.7
West Wimmera,PARKWOOD,33.0,69.7
West Wimmera,PASCHENDALE,33.0,69.7
West Wimmera,TAHARA BRIDGE,33.0,69.7
West Wimmera,TARRAYOUKYAN,33.0,69.7
West Wimmera,TARRENLEA,33.0,69.7
West Wimmera,WOOTONG VALE,33.0,69.7
Southern Grampians,HARROW,33.5,68.8
West Wimmera,CHARAM,33.0,69.7
West Wimmera,CONNEWIRRICOO,33.0,69.7
West Wimmera,EDENHOPE,33.0,69.7
West Wimmera,JALLAKIN,33.0,69.7
West Wimmera,KADNOOK,33.0,69.7
West Wimmera,LANGKOOP,33.0,69.7
West Wimmera,MEEREEK,33.0,69.7
West Wimmera,PATYAH,33.0,69.7
West Wimmera,ULLSWATER,33.0,69.7
West Wimmera,APSLEY,33.0,69.7
West Wimmera,BENAYEO,33.0,69.7
West Wimmera,BRINGALBERT,33.0,69.7
Colac Otway,HESSE,31.3,66.8
Colac Otway,INVERLEIGH,31.3,66.8
Colac Otway,WINGEEL,31.3,66.8
Corangamite,CRESSY,33.3,69.9
Golden Plains,BERRYBANK,35.4,71.9
Golden Plains,DUVERNEY,35.4,71.9
Golden Plains,FOXHOW,35.4,71.9
Golden Plains,LISMORE,35.4,71.9
Golden Plains,MINGAY,35.4,71.9
Golden Plains,MOUNT BUTE,35.4,71.9
Corangamite,DERRINALLUM,33.3,69.9
Corangamite,LARRALEA,33.3,69.9
Corangamite,VITE VITE,33.3,69.9
Corangamite,VITE VITE NORTH,33.3,69.9
Golden Plains,TEESDALE,35.4,71.9
Colac Otway,BARUNAH PARK,31.3,66.8
Colac Otway,BARUNAH PLAINS,31.3,66.8
Colac Otway,SHELFORD,31.3,66.8
Golden Plains,ROKEWOOD,35.4,71.9
Golden Plains,BANNOCKBURN,35.4,71.9
Golden Plains,GHERINGHAP,35.4,71.9
Golden Plains,MAUDE,35.4,71.9
Golden Plains,RUSSELLS BRIDGE,35.4,71.9
Golden Plains,SHE OAKS,35.4,71.9
Golden Plains,STEIGLITZ,35.4,71.9
Golden Plains,SUTHERLANDS CREEK,35.4,71.9
Golden Plains,LETHBRIDGE,35.4,71.9
Moorabool,BAMGANIE,35.1,73.0
Moorabool,MEREDITH,35.1,73.0
Golden Plains,BUNGAL,35.4,71.9
Golden Plains,CARGERIE,35.4,71.9
Golden Plains,ELAINE,35.4,71.9
Golden Plains,MORRISONS,35.4,71.9
Golden Plains,MOUNT DORAN,35.4,71.9
Melton,BONNIE BROOK,35.6,74.3
Melton,GRANGEFIELDS,35.6,74.3
Melton,PLUMPTON,35.6,74.3
Melton,ROCKBANK,35.6,74.3
Melton,THORNHILL PARK,35.6,74.3
Melton,AINTREE,35.6,74.3
Melton,DEANSIDE,35.6,74.3
Melton,FRASER RISE,35.6,74.3
Macedon Ranges,HARKNESS,29.6,67.9
Macedon Ranges,KURUNJANG,29.6,67.9
Macedon Ranges,MELTON,29.6,67.9
Macedon Ranges,MELTON WEST,29.6,67.9
Macedon Ranges,TOOLERN VALE,29.6,67.9
Wyndham,BROOKFIELD,31.5,70.3
Wyndham,COBBLEBANK,31.5,70.3
Wyndham,EXFORD,31.5,70.3
Wyndham,EYNESBURY,31.5,70.3
Wyndham,MELTON SOUTH,31.5,70.3
Wyndham,STRATHTULLOH,31.5,70.3
Wyndham,WEIR VIEWS,31.5,70.3
Melton,BACCHUS MARSH,35.6,74.3
Melton,BALLIANG,35.6,74.3
Melton,BALLIANG EAST,35.6,74.3
Melton,COIMADAI,35.6,74.3
Melton,DARLEY,35.6,74.3
Melton,GLENMORE,35.6,74.3
Melton,HOPETOUN PARK,35.6,74.3
Melton,LONG FOREST,35.6,74.3
Melton,MADDINGLEY,35.6,74.3
Melton,MERRIMU,35.6,74.3
Melton,PARWAN,35.6,74.3
Melton,ROWSLEY,35.6,74.3
Melton,STAUGHTON VALE,35.6,74.3
Moorabool,DALES CREEK,35.1,73.0
Moorabool,GREENDALE,35.1,73.0
Moorabool,KOROBEIT,35.1,73.0
Moorabool,MYRNIONG,35.1,73.0
Moorabool,PENTLAND HILLS,35.1,73.0
Golden Plains,BALLAN,35.4,71.9
Golden Plains,BEREMBOKE,35.4,71.9
Golden Plains,BLAKEVILLE,35.4,71.9
Golden Plains,BUNDING,35.4,71.9
Golden Plains,COLBROOK,35.4,71.9
Golden Plains,DURDIDWARRAH,35.4,71.9
Golden Plains,FISKVILLE,35.4,71.9
Golden Plains,INGLISTON,35.4,71.9
Golden Plains,MOUNT WALLACE,35.4,71.9
Moorabool,GORDON,35.1,73.0
Ballarat,ALFREDTON,33.8,69.4
Ballarat,BAKERY HILL,33.8,69.4
Ballarat,BALLARAT,33.8,69.4
Ballarat,BALLARAT CENTRAL,33.8,69.4
Ballarat,BALLARAT EAST,33.8,69.4
Ballarat,BALLARAT NORTH,33.8,69.4
Ballarat,BALLARAT WEST,33.8,69.4
Ballarat,BLACK HILL,33.8,69.4
Ballarat,BROWN HILL,33.8,69.4
Ballarat,CANADIAN,33.8,69.4
Ballarat,EUREKA,33.8,69.4
Ballarat,GOLDEN POINT,33.8,69.4
Ballarat,INVERMAY PARK,33.8,69.4
Ballarat,LAKE WENDOUREE,33.8,69.4
Ballarat,LUCAS,33.8,69.4
Ballarat,MOUNT CLEAR,33.8,69.4
Ballarat,MOUNT HELEN,33.8,69.4
Ballarat,MOUNT PLEASANT,33.8,69.4
Ballarat,NERRINA,33.8,69.4
Ballarat,NEWINGTON,33.8,69.4
Ballarat,REDAN,33.8,69.4
Ballarat,SOLDIERS HILL,33.8,69.4
Ballarat,SOVEREIGN HILL,33.8,69.4
Moyne,BERRINGA,34.3,71.8
Moyne,BO PEEP,34.3,71.8
Moyne,CAPE CLEAR,34.3,71.8
Moyne,CARNGHAM,34.3,71.8
Moyne,CHEPSTOWE,34.3,71.8
Moyne,HADDON,34.3,71.8
Moyne,HAPPY VALLEY,34.3,71.8
Moyne,HILLCREST,34.3,71.8
Moyne,ILLABAROOK,34.3,71.8
Moyne,LAKE BOLAC,34.3,71.8
Moyne,MININERA,34.3,71.8
Moyne,MORTCHUP,34.3,71.8
Moyne,MOUNT EMU,34.3,71.8
Moyne,NERRIN NERRIN,34.3,71.8
Moyne,NEWTOWN,34.3,71.8
Moyne,NINTINGBOOL,34.3,71.8
Moyne,PIGGOREET,34.3,71.8
Moyne,PITFIELD,34.3,71.8
Moyne,ROKEWOOD JUNCTION,34.3,71.8
Moyne,ROSS CREEK,34.3,71.8
Moyne,SCARSDALE,34.3,71.8
Moyne,SMYTHES CREEK,34.3,71.8
Moyne,SMYTHESDALE,34.3,71.8
Moyne,SNAKE VALLEY,34.3,71.8
Moyne,SPRINGDALLAH,34.3,71.8
Moyne,STAFFORDSHIRE REEF,34.3,71.8
Moyne,STREATHAM,34.3,71.8
Moyne,WALLINDUC,34.3,71.8
Moyne,WESTMERE,34.3,71.8
Corangamite,ADDINGTON,33.3,69.9
Corangamite,BALLARAT ROADSIDE DELIVERY,33.3,69.9
Corangamite,BARKSTEAD,33.3,69.9
Corangamite,BLOWHARD,33.3,69.9
Corangamite,BOLWARRAH,33.3,69.9
Corangamite,BONSHAW,33.3,69.9
Corangamite,BREWSTER,33.3,69.9
Corangamite,BULLAROOK,33.3,69.9
Corangamite,BUNGAREE,33.3,69.9
Corangamite,BUNKERS HILL,33.3,69.9
Corangamite,BURRUMBEET,33.3,69.9
Corangamite,CAMBRIAN HILL,33.3,69.9
Corangamite,CARDIGAN,33.3,69.9
Corangamite,CARDIGAN VILLAGE,33.3,69.9
Corangamite,CHAPEL FLAT,33.3,69.9
Corangamite,CLARENDON,33.3,69.9
Corangamite,CLARETOWN,33.3,69.9
Corangamite,CLARKES HILL,33.3,69.9
Corangamite,CORINDHAP,33.3,69.9
Corangamite,DEAN,33.3,69.9
Corangamite,DEREEL,33.3,69.9
Corangamite,DUNNSTOWN,33.3,69.9
Corangamite,DURHAM LEAD,33.3,69.9
Corangamite,ENFIELD,33.3,69.9
Corangamite,ERCILDOUNE,33.3,69.9
Corangamite,GARIBALDI,33.3,69.9
Corangamite,GLEN PARK,33.3,69.9
Corangamite,GLENBRAE,33.3,69.9
Corangamite,GONG GONG,33.3,69.9
Corangamite,GRENVILLE,33.3,69.9
Corangamite,INVERMAY,33.3,69.9
Corangamite,LAL LAL,33.3,69.9
Corangamite,LAMPLOUGH,33.3,69.9
Corangamite,LANGI KAL KAL,33.3,69.9
Corangamite,LEARMONTH,33.3,69.9
Corangamite,LEIGH CREEK,33.3,69.9
Corangamite,LEXTON,33.3,69.9
Corangamite,MAGPIE,33.3,69.9
Corangamite,MILLBROOK,33.3,69.9
Corangamite,MINERS REST,33.3,69.9
Corangamite,MITCHELL PARK,33.3,69.9
Corangamite,MOLLONGGHIP,33.3,69.9
Corangamite,MOUNT BOLTON,33.3,69.9
Corangamite,MOUNT EGERTON,33.3,69.9
Corangamite,MOUNT MERCER,33.3,69.9
Corangamite,MOUNT MITCHELL,33.3,69.9
Corangamite,MOUNT ROWAN,33.3,69.9
Corangamite,NAPOLEONS,33.3,69.9
Corangamite,NAVIGATORS,33.3,69.9
Corangamite,POOTILLA,33.3,69.9
Corangamite,SCOTCHMANS LEAD,33.3,69.9
Corangamite,SCOTSBURN,33.3,69.9
Corangamite,SPRINGBANK,33.3,69.9
Corangamite,SULKY,33.3,69.9
Corangamite,WALLACE,33.3,69.9
Corangamite,WARRENHEIP,33.3,69.9
Corangamite,WATTLE FLAT,33.3,69.9
Corangamite,WAUBRA,33.3,69.9
Corangamite,WEATHERBOARD,33.3,69.9
Corangamite,WERNETH,33.3,69.9
Corangamite,WINDERMERE,33.3,69.9
Corangamite,YENDON,33.3,69.9
Maribyrnong,BALLARAT,21.9,60.0
Ballarat,BAKERY HILL,33.8,69.4
Ballarat,BALLARAT MC,33.8,69.4
Ballarat,LAKE GARDENS,33.8,69.4
Ballarat,MITCHELL PARK,33.8,69.4
Ballarat,WENDOUREE,33.8,69.4
Ballarat,WENDOUREE VILLAGE,33.8,69.4
Ballarat,BONSHAW,33.8,69.4
Ballarat,DELACOMBE,33.8,69.4
Ballarat,SEBASTOPOL,33.8,69.4
Moorabool,BUNINYONG,35.1,73.0
Moorabool,SCOTSMANS LEAD,35.1,73.0
Moorabool,YARROWEE,35.1,73.0
Ballarat,WINTER VALLEY,33.8,69.4
Corangamite,HAPPY VALLEY,33.3,69.9
Corangamite,LINTON,33.3,69.9
Corangamite,MANNIBADAR,33.3,69.9
Corangamite,PITTONG,33.3,69.9
Corangamite,WILLOWVALE,33.3,69.9
Ararat,BRADVALE,32.6,68.4
Ararat,CARRANBALLAC,32.6,68.4
Ararat,SKIPTON,32.6,68.4
Ballarat,CRESWICK,33.8,69.4
Ballarat,CRESWICK NORTH,33.8,69.4
Ballarat,DEAN,33.8,69.4
Ballarat,GLENDARUEL,33.8,69.4
Ballarat,LANGDONS HILL,33.8,69.4
Ballarat,MOUNT BECKWORTH,33.8,69.4
Ballarat,TOURELLO,33.8,69.4
Central Goldfields,ALLENDALE,36.1,71.3
Central Goldfields,ASCOT,36.1,71.3
Central Goldfields,BALD HILLS,36.1,71.3
Central Goldfields,BARKSTEAD,36.1,71.3
Central Goldfields,BLAMPIED,36.1,71.3
Central Goldfields,BROOMFIELD,36.1,71.3
Central Goldfields,CABBAGE TREE,36.1,71.3
Central Goldfields,CAMPBELLTOWN,36.1,71.3
Central Goldfields,COGHILLS CREEK,36.1,71.3
Central Goldfields,GLENDONALD,36.1,71.3
Central Goldfields,GLENDONNELL,36.1,71.3
Central Goldfields,JOYCES CREEK,36.1,71.3
Central Goldfields,KINGSTON,36.1,71.3
Central Goldfields,KOOROOCHEANG,36.1,71.3
Central Goldfields,LAWRENCE,36.1,71.3
Central Goldfields,MOUNT PROSPECT,36.1,71.3
Central Goldfields,NEWLYN,36.1,71.3
Central Goldfields,NEWLYN NORTH,36.1,71.3
Central Goldfields,ROCKLYN,36.1,71.3
Central Goldfields,SMEATON,36.1,71.3
