council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR
Melbourne,CARLTON SOUTH,15.3,48.8
Moreland,CARLTON NORTH,24.2,62.4
Moreland,PRINCES HILL,24.2,62.4
Moreland,BRUNSWICK SOUTH,24.2,62.4
Moreland,BRUNSWICK WEST,24.2,62.4
Moreland,MOONEE VALE,24.2,62.4
Moreland,MORELAND WEST,24.2,62.4
Moreland,BRUNSWICK,24.2,62.4
Moreland,BRUNSWICK LOWER,24.2,62.4
Moreland,BRUNSWICK NORTH,24.2,62.4
Moreland,BRUNSWICK EAST,24.2,62.4
Moreland,LYGON STREET NORTH,24.2,62.4
Moreland,SUMNER,24.2,62.4
Darebin,BATMAN,23.9,61.9
Darebin,COBURG,23.9,61.9
Darebin,COBURG NORTH,23.9,61.9
Darebin,MERLYNSTON,23.9,61.9
Darebin,MORELAND,23.9,61.9
Hume,GREENVALE,33.3,71.1
Hume,FAWKNER,33.3,71.1
Hume,FAWKNER EAST,33.3,71.1
Hume,FAWKNER NORTH,33.3,71.1
Hume,CAMPBELLFIELD,33.3,71.1
Hume,SOMERTON,33.3,71.1
Hume,OAKLANDS JUNCTION,33.3,71.1
Hume,YUROKE,33.3,71.1
Whittlesea,CRAIGIEBURN,30.8,69.4
Whittlesea,DONNYBROOK,30.8,69.4
Whittlesea,KALKALLO,30.8,69.4
Whittlesea,MICKLEHAM,30.8,69.4
Whittlesea,ROXBURGH PARK,30.8,69.4
Yarra,FITZROY,16.3,53.7
Yarra,COLLINGWOOD,16.3,53.7
Yarra,COLLINGWOOD NORTH,16.3,53.7
Yarra,ABBOTSFORD,16.3,53.7
Moreland,CLIFTON HILL,24.2,62.4
Moreland,FITZROY NORTH,24.2,62.4
Moreland,NORTHCOTE,24.2,62.4
Moreland,NORTHCOTE SOUTH,24.2,62.4
Darebin,THORNBURY,23.9,61.9
Darebin,GILBERTON,23.9,61.9
Darebin,NORTHLAND CENTRE,23.9,61.9
Darebin,PRESTON,23.9,61.9
Darebin,PRESTON LOWER,23.9,61.9
Darebin,PRESTON SOUTH,23.9,61.9
Darebin,PRESTON WEST,23.9,61.9
Darebin,REGENT WEST,23.9,61.9
Darebin,SYLVESTER,23.9,61.9
Darebin,KEON PARK,23.9,61.9
Darebin,RESERVOIR,23.9,61.9
Darebin,RESERVOIR EAST,23.9,61.9
Darebin,RESERVOIR NORTH,23.9,61.9
Darebin,RESERVOIR SOUTH,23.9,61.9
Whittlesea,THOMASTOWN,30.8,69.4
Whittlesea,LALOR,30.8,69.4
Whittlesea,LALOR PLAZA,30.8,69.4
Whittlesea,EPPING,30.8,69.4
Whittlesea,EPPING DC,30.8,69.4
Yarra,ALPHINGTON,16.3,53.7
Yarra,FAIRFIELD,16.3,53.7
Banyule,IVANHOE,22.9,61.5
Banyule,IVANHOE EAST,22.9,61.5
Banyule,IVANHOE NORTH,22.9,61.5
Banyule,BELLFIELD,22.9,61.5
Banyule,HEIDELBERG HEIGHTS,22.9,61.5
Banyule,HEIDELBERG RGH,22.9,61.5
Banyule,HEIDELBERG WEST,22.9,61.5
Whittlesea,MILL PARK,30.8,69.4
Darebin,BUNDOORA,23.9,61.9
Darebin,KINGSBURY,23.9,61.9
Darebin,LA TROBE UNIVERSITY,23.9,61.9
Banyule,BANYULE,22.9,61.5
Banyule,EAGLEMONT,22.9,61.5
Banyule,HEIDELBERG,22.9,61.5
Banyule,ROSANNA,22.9,61.5
Banyule,VIEWBANK,22.9,61.5
Darebin,MACLEOD,23.9,61.9
Darebin,MACLEOD WEST,23.9,61.9
Darebin,YALLAMBIE,23.9,61.9
Darebin,LA TROBE UNIVERSITY,23.9,61.9
Banyule,WATSONIA,22.9,61.5
Banyule,WATSONIA NORTH,22.9,61.5
Nillumbik,BRIAR HILL,22.8,62.1
Nillumbik,GREENSBOROUGH,22.8,62.1
Nillumbik,SAINT HELENA,22.8,62.1
Nillumbik,ST HELENA,22.8,62.1
Nillumbik,DIAMOND CREEK,22.8,62.1
Nillumbik,PLENTY,22.8,62.1
Nillumbik,YARRAMBAT,22.8,62.1
Banyule,LOWER PLENTY,22.9,61.5
Banyule,MONTMORENCY,22.9,61.5
Banyule,ELTHAM,22.9,61.5
Banyule,ELTHAM NORTH,22.9,61.5
Banyule,RESEARCH,22.9,61.5
Nillumbik,WATTLE GLEN,22.8,62.1
Nillumbik,BEND OF ISLANDS,22.8,62.1
Nillumbik,KANGAROO GROUND,22.8,62.1
Nillumbik,WATSONS CREEK,22.8,62.1
Nillumbik,ARTHURS CREEK,22.8,62.1
Nillumbik,COTTLES BRIDGE,22.8,62.1
Nillumbik,HURSTBRIDGE,22.8,62.1
Nillumbik,NUTFIELD,22.8,62.1
Nillumbik,STRATHEWEN,22.8,62.1
Boroondara,COTHAM,14.5,53.1
Boroondara,KEW,14.5,53.1
Boroondara,KEW EAST,14.5,53.1
Boroondara,BALWYN,14.5,53.1
Boroondara,BALWYN EAST,14.5,53.1
Boroondara,DEEPDENE,14.5,53.1
Boroondara,DEEPDENE DC,14.5,53.1
Boroondara,STRADBROKE PARK,14.5,53.1
Whitehorse,BALWYN NORTH,19.5,57.3
Whitehorse,GREYTHORN,19.5,57.3
Manningham,BULLEEN,19.1,57.4
Manningham,BULLEEN SOUTH,19.1,57.4
Manningham,TEMPLESTOWE,19.1,57.4
Manningham,TEMPLESTOWE LOWER,19.1,57.4
Manningham,DONCASTER,19.1,57.4
Manningham,DONCASTER EAST,19.1,57.4
Manningham,DONCASTER HEIGHTS,19.1,57.4
Manningham,THE PINES,19.1,57.4
Manningham,TUNSTALL SQUARE PO,19.1,57.4
Manningham,DONVALE,19.1,57.4
Nillumbik,NORTH WARRANDYTE,22.8,62.1
Nillumbik,WARRANDYTE,22.8,62.1
Maroondah,PARK ORCHARDS,26.3,64.6
Maroondah,WONGA PARK,26.3,64.6
Yarra Ranges,CHIRNSIDE PARK,27.1,65.6
Yarra,BURNLEY,16.3,53.7
Yarra,BURNLEY NORTH,16.3,53.7
Yarra,CREMORNE,16.3,53.7
Yarra,RICHMOND,16.3,53.7
Yarra,RICHMOND EAST,16.3,53.7
Yarra,RICHMOND NORTH,16.3,53.7
Yarra,RICHMOND SOUTH,16.3,53.7
Yarra,VICTORIA GARDENS,16.3,53.7
Boroondara,AUBURN SOUTH,14.5,53.1
Boroondara,GLENFERRIE SOUTH,14.5,53.1
Boroondara,HAWTHORN,14.5,53.1
Boroondara,HAWTHORN NORTH,14.5,53.1
Boroondara,HAWTHORN WEST,14.5,53.1
Boroondara,AUBURN,14.5,53.1
Boroondara,HAWTHORN EAST,14.5,53.1
Boroondara,CAMBERWELL,14.5,53.1
Boroondara,CAMBERWELL NORTH,14.5,53.1
Boroondara,CAMBERWELL SOUTH,14.5,53.1
Boroondara,CAMBERWELL WEST,14.5,53.1
Boroondara,HARTWELL,14.5,53.1
Boroondara,MIDDLE CAMBERWELL,14.5,53.1
Monash,BENNETTSWOOD,19.7,57.1
Monash,BURWOOD,19.7,57.1
Monash,SURREY HILLS SOUTH,19.7,57.1
Boroondara,CAMBERWELL EAST,14.5,53.1
Boroondara,CANTERBURY,14.5,53.1
Boroondara,MONT ALBERT,14.5,53.1
Boroondara,SURREY HILLS,14.5,53.1
Boroondara,SURREY HILLS NORTH,14.5,53.1
Whitehorse,BOX HILL,19.5,57.3
Whitehorse,BOX HILL CENTRAL,19.5,57.3
Whitehorse,BOX HILL SOUTH,19.5,57.3
Whitehorse,HOUSTON,19.5,57.3
Whitehorse,WATTLE PARK,19.5,57.3
Whitehorse,BOX HILL NORTH,19.5,57.3
Whitehorse,KERRIMUIR,19.5,57.3
Whitehorse,MONT ALBERT NORTH,19.5,57.3
Whitehorse,BLACKBURN,19.5,57.3
Whitehorse,BLACKBURN NORTH,19.5,57.3
Whitehorse,BLACKBURN SOUTH,19.5,57.3
