LGA,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Warrnambool,VIC,32.5,"7,951",68.1,"16,532",7.3,549,27.3,"2,113",
Wellington,VIC,34.8,"10,973",70,"21,678",7.7,713,28.3,"2,672",
West Wimmera,VIC,33,"1,063",69.7,"2,199",6.2,50,29.3,246,
Whitehorse,VIC,19.5,"24,759",57.3,"73,029",5.9,"1,698",27.9,"8,071",
Whittlesea,VIC,30.8,"43,270",69.4,"98,173",9.2,"3,825",29.9,"12,319",
Wodonga,VIC,34.8,"9,255",70,"18,545",7.7,725,27,"2,551",
Wyndham,VIC,31.5,"44,346",70.3,"100,879",9.5,"4,640",31.9,"15,178",
Yarra,VIC,16.3,"11,186",53.7,"38,365",6,550,28.3,"2,524",
Yarra Ranges,VIC,27.1,"31,775",65.6,"75,717",6.7,"2,037",27.7,"8,604",
Yarriambiack,VIC,33,"1,773",69.7,"3,668",6.2,84,29.3,410,
